shipment_id,origin_city,destination_city,carrier,ship_date,deliver_date,status,delay_days,weight_kg,route_id
SH-0021,Chennai,Hyderabad,UPS,2026-03-24,2026-03-29,Delivered,0,248.1,CHE-HYD
SH-0022,Kolkata,Mumbai,DHL,2026-03-30,2026-04-01,Delivered,0,111.2,KOL-MUM
SH-0023,Mumbai,Hyderabad,FedEx,2026-03-31,2026-04-02,Delivered,0,289.2,MUM-HYD
SH-0024,Mumbai,Chennai,UPS,2026-03-25,2026-04-11,Delayed,10,77.9,MUM-CHE
SH-0025,Pune,Kolkata,UPS,2026-02-12,,In Transit,0,74.2,PUN-KOL
SH-0026,Kolkata,Pune,BlueDart,2026-04-10,2026-04-13,Delivered,0,246.5,KOL-PUN
SH-0027,Pune,Hyderabad,DHL,2026-04-24,2026-04-25,Delivered,0,338.7,PUN-HYD
SH-0028,Pune,Ahmedabad,BlueDart,2026-02-14,2026-02-19,Delivered,0,300.1,PUN-AHM
SH-0029,Bangalore,Chennai,BlueDart,2026-02-08,2026-02-10,Delivered,0,313.3,BAN-CHE
SH-0030,Bangalore,Pune,FedEx,2026-04-15,2026-04-16,Delivered,0,324.2,BAN-PUN
SH-0031,Hyderabad,Ahmedabad,FedEx,2026-02-08,2026-02-12,Delivered,0,137.3,HYD-AHM
SH-0032,Mumbai,Delhi,DHL,2026-04-02,2026-04-05,Delivered,0,397.0,MUM-DEL
SH-0033,Pune,Mumbai,UPS,2026-02-28,2026-03-03,Delivered,0,230.1,PUN-MUM
SH-0034,Chennai,Bangalore,UPS,2026-04-01,2026-04-04,Delivered,0,265.7,CHE-BAN
SH-0035,Kolkata,Hyderabad,FedEx,2026-03-20,2026-03-21,Delivered,0,471.7,KOL-HYD
SH-0036,Delhi,Pune,BlueDart,2026-03-21,2026-03-22,Delivered,0,29.3,DEL-PUN
SH-0037,Bangalore,Mumbai,BlueDart,2026-02-24,2026-02-25,Delivered,0,375.3,BAN-MUM
SH-0038,Hyderabad,Pune,FedEx,2026-03-10,2026-03-19,Delayed,6,48.8,HYD-PUN
SH-0039,Delhi,Bangalore,BlueDart,2026-02-27,2026-03-02,Delivered,0,12.0,DEL-BAN
SH-0040,Chennai,Bangalore,BlueDart,2026-04-03,2026-04-13,Delayed,6,476.1,CHE-BAN
SH-0041,Bangalore,Kolkata,DHL,2026-02-10,,In Transit,0,284.7,BAN-KOL
SH-0042,Pune,Bangalore,DHL,2026-03-15,2026-03-27,Delayed,6,273.5,PUN-BAN
SH-0043,Ahmedabad,Pune,BlueDart,2026-04-01,2026-04-05,Delivered,0,194.0,AHM-PUN
SH-0044,Ahmedabad,Bangalore,DHL,2026-02-08,2026-02-10,Delivered,0,418.5,AHM-BAN
SH-0045,Kolkata,Pune,BlueDart,2026-02-25,2026-02-27,Delivered,0,243.8,KOL-PUN
SH-0046,Bangalore,Hyderabad,BlueDart,2026-02-18,2026-03-01,Delayed,8,451.4,BAN-HYD
SH-0047,Kolkata,Chennai,DHL,2026-04-22,2026-04-27,Delivered,0,211.1,KOL-CHE
SH-0048,Chennai,Kolkata,FedEx,2026-02-23,2026-02-24,Delivered,0,49.7,CHE-KOL
SH-0049,Delhi,Chennai,FedEx,2026-02-13,2026-02-23,Delayed,7,135.9,DEL-CHE
SH-0050,Hyderabad,Bangalore,BlueDart,2026-02-10,2026-02-15,Delivered,0,173.2,HYD-BAN
SH-0051,Delhi,Hyderabad,UPS,2026-04-07,2026-04-09,Delivered,0,360.5,DEL-HYD
SH-0052,Kolkata,Chennai,DHL,2026-03-06,2026-03-10,Delivered,0,459.4,KOL-CHE
SH-0053,Delhi,Bangalore,DHL,2026-04-07,2026-04-12,Delivered,0,420.2,DEL-BAN
SH-0054,Bangalore,Hyderabad,FedEx,2026-04-26,,Delayed,8,393.0,BAN-HYD
SH-0055,Kolkata,Mumbai,BlueDart,2026-04-21,,Delayed,5,247.3,KOL-MUM
SH-0056,Ahmedabad,Mumbai,FedEx,2026-04-15,2026-04-19,Delivered,0,385.3,AHM-MUM
SH-0057,Mumbai,Hyderabad,BlueDart,2026-03-05,2026-03-07,Delivered,0,261.4,MUM-HYD
SH-0058,Hyderabad,Delhi,FedEx,2026-02-01,2026-02-03,Delivered,0,163.8,HYD-DEL
SH-0059,Hyderabad,Pune,DHL,2026-04-06,2026-04-14,Delayed,5,254.2,HYD-PUN
SH-0060,Mumbai,Pune,FedEx,2026-04-21,2026-04-26,Delivered,0,236.3,MUM-PUN
SH-0061,Kolkata,Chennai,BlueDart,2026-02-27,2026-03-04,Delivered,0,173.8,KOL-CHE
SH-0062,Mumbai,Kolkata,UPS,2026-02-19,2026-02-22,Delivered,0,250.2,MUM-KOL
SH-0063,Delhi,Pune,DHL,2026-03-27,2026-03-29,Delivered,0,21.4,DEL-PUN
SH-0064,Hyderabad,Delhi,FedEx,2026-02-06,2026-02-20,Delayed,7,293.7,HYD-DEL
SH-0065,Kolkata,Chennai,DHL,2026-03-13,2026-03-16,Delivered,0,9.1,KOL-CHE
SH-0066,Hyderabad,Delhi,DHL,2026-02-25,2026-02-27,Delivered,0,465.6,HYD-DEL
SH-0067,Bangalore,Kolkata,DHL,2026-02-06,2026-02-07,Delivered,0,248.0,BAN-KOL
SH-0068,Chennai,Pune,BlueDart,2026-04-18,,Delayed,6,240.2,CHE-PUN
SH-0069,Delhi,Ahmedabad,DHL,2026-04-23,2026-04-26,Delivered,0,278.0,DEL-AHM
SH-0070,Kolkata,Pune,BlueDart,2026-02-28,,Lost,0,483.6,KOL-PUN
SH-0071,Pune,Ahmedabad,BlueDart,2026-02-14,2026-02-15,Delivered,0,18.4,PUN-AHM
SH-0072,Chennai,Pune,UPS,2026-02-26,2026-03-09,Delayed,4,461.6,CHE-PUN
SH-0073,Hyderabad,Bangalore,FedEx,2026-04-14,2026-04-18,Delivered,0,69.9,HYD-BAN
SH-0074,Mumbai,Kolkata,UPS,2026-03-26,2026-03-31,Delivered,0,396.5,MUM-KOL
SH-0075,Hyderabad,Delhi,BlueDart,2026-02-26,2026-03-06,Delayed,3,234.0,HYD-DEL
SH-0076,Chennai,Pune,DHL,2026-03-03,2026-03-06,Delivered,0,497.9,CHE-PUN
SH-0077,Mumbai,Kolkata,UPS,2026-04-22,2026-04-26,Delivered,0,298.6,MUM-KOL
SH-0078,Pune,Chennai,FedEx,2026-03-07,2026-03-12,Delivered,0,340.0,PUN-CHE
SH-0079,Hyderabad,Kolkata,BlueDart,2026-03-10,2026-03-15,Delivered,0,1.1,HYD-KOL
SH-0080,Delhi,Ahmedabad,FedEx,2026-04-28,2026-05-01,Delivered,0,372.8,DEL-AHM
SH-0081,Hyderabad,Delhi,DHL,2026-03-23,2026-03-30,Delayed,4,326.7,HYD-DEL
SH-0082,Delhi,Hyderabad,DHL,2026-03-06,2026-03-17,Delayed,6,206.2,DEL-HYD
SH-0083,Kolkata,Mumbai,BlueDart,2026-04-16,2026-04-28,Delayed,8,471.7,KOL-MUM
SH-0084,Chennai,Kolkata,BlueDart,2026-03-29,2026-04-03,Delivered,0,346.9,CHE-KOL
SH-0085,Bangalore,Ahmedabad,FedEx,2026-03-14,,In Transit,0,76.2,BAN-AHM
SH-0086,Bangalore,Ahmedabad,FedEx,2026-03-14,,In Transit,0,326.2,BAN-AHM
SH-0087,Kolkata,Ahmedabad,FedEx,2026-04-06,,In Transit,0,472.9,KOL-AHM
SH-0088,Bangalore,Kolkata,BlueDart,2026-03-24,2026-03-26,Delivered,0,313.9,BAN-KOL
SH-0089,Bangalore,Kolkata,DHL,2026-03-27,2026-03-28,Delivered,0,450.0,BAN-KOL
SH-0090,Hyderabad,Kolkata,UPS,2026-02-08,2026-02-13,Delivered,0,315.8,HYD-KOL
SH-0091,Chennai,Kolkata,FedEx,2026-02-28,2026-03-03,Delivered,0,3.7,CHE-KOL
SH-0092,Hyderabad,Chennai,DHL,2026-03-30,2026-03-31,Delivered,0,141.3,HYD-CHE
SH-0093,Delhi,Chennai,FedEx,2026-02-25,2026-03-01,Delivered,0,140.1,DEL-CHE
SH-0094,Kolkata,Bangalore,BlueDart,2026-03-28,2026-03-31,Delivered,0,43.1,KOL-BAN
SH-0095,Mumbai,Bangalore,FedEx,2026-02-08,2026-02-23,Delayed,10,331.0,MUM-BAN
SH-0096,Kolkata,Pune,FedEx,2026-02-03,2026-02-05,Delivered,0,451.0,KOL-PUN
SH-0097,Kolkata,Mumbai,DHL,2026-04-25,,Delayed,1,299.5,KOL-MUM
SH-0098,Ahmedabad,Kolkata,BlueDart,2026-02-27,2026-03-04,Delivered,0,44.9,AHM-KOL
SH-0099,Mumbai,Ahmedabad,UPS,2026-03-25,2026-04-05,Delayed,6,186.5,MUM-AHM
SH-0100,Bangalore,Hyderabad,FedEx,2026-02-09,,In Transit,0,295.3,BAN-HYD
SH-0101,Chennai,Kolkata,BlueDart,2026-02-22,2026-02-25,Delivered,0,111.6,CHE-KOL
SH-0102,Chennai,Delhi,UPS,2026-04-15,2026-04-16,Delivered,0,383.1,CHE-DEL
SH-0103,Kolkata,Chennai,DHL,2026-03-25,,Lost,0,219.9,KOL-CHE
SH-0104,Bangalore,Hyderabad,FedEx,2026-04-02,2026-04-04,Delivered,0,422.4,BAN-HYD
SH-0105,Chennai,Delhi,DHL,2026-02-02,2026-02-06,Delivered,0,33.7,CHE-DEL
SH-0106,Kolkata,Ahmedabad,UPS,2026-04-11,2026-04-21,Delayed,3,209.3,KOL-AHM
SH-0107,Delhi,Chennai,UPS,2026-04-24,2026-04-27,Delivered,0,9.2,DEL-CHE
SH-0108,Ahmedabad,Pune,DHL,2026-04-08,2026-04-09,Delivered,0,396.6,AHM-PUN
SH-0109,Ahmedabad,Pune,DHL,2026-02-08,2026-02-12,Delivered,0,411.6,AHM-PUN
SH-0110,Mumbai,Delhi,BlueDart,2026-02-12,,In Transit,0,114.0,MUM-DEL
SH-0111,Mumbai,Delhi,FedEx,2026-02-02,2026-02-06,Delivered,0,317.8,MUM-DEL
SH-0112,Hyderabad,Pune,UPS,2026-04-27,,Delayed,3,39.8,HYD-PUN
SH-0113,Bangalore,Ahmedabad,FedEx,2026-01-29,2026-01-31,Delivered,0,405.4,BAN-AHM
SH-0114,Delhi,Ahmedabad,BlueDart,2026-03-29,,In Transit,0,384.5,DEL-AHM
SH-0115,Mumbai,Bangalore,DHL,2026-04-03,2026-04-07,Delivered,0,300.5,MUM-BAN
SH-0116,Hyderabad,Kolkata,DHL,2026-04-23,,In Transit,0,312.4,HYD-KOL
SH-0117,Chennai,Pune,BlueDart,2026-04-08,2026-04-09,Delivered,0,100.4,CHE-PUN
SH-0118,Mumbai,Kolkata,UPS,2026-03-05,2026-03-08,Delivered,0,176.7,MUM-KOL
SH-0119,Chennai,Hyderabad,DHL,2026-04-21,2026-04-25,Delivered,0,439.1,CHE-HYD
SH-0120,Pune,Chennai,DHL,2026-02-17,2026-02-20,Delivered,0,200.8,PUN-CHE
